Date,Temperature.Max,Temperature.Min,Temperature.Avg,Temperature.Departure,HDD,CDD,Precipitation,New.Snow,Snow.Depth
1/1/06,45,31,38,4.3,27,0,0,0,0
1/2/06,45,28,36.5,2.9,28,0,0.92,0,0
1/3/06,45,36,40.5,7.1,24,0,0.45,0,0
1/4/06,43,35,39,5.7,26,0,0,0,0
1/5/06,51,37,44,10.8,21,0,0,0,0
1/6/06,43,32,37.5,4.4,27,0,0,0,0
1/7/06,36,22,29,-4,36,0,0,0,0
1/8/06,46,34,40,7,25,0,0,0,0
1/9/06,60,37,48.5,15.6,16,0,0,0,0
1/10/06,50,36,43,10.2,22,0,0,0,0
1/11/06,53,34,43.5,10.7,21,0,0.37,0,0
1/12/06,58,39,48.5,15.8,16,0,0,0,0
1/13/06,59,35,47,14.3,18,0,0,0,0
1/14/06,60,32,46,13.3,19,0,0.53,0.2,0
1/15/06,34,25,29.5,-3.1,35,0,0.02,0.2,0
1/16/06,32,20,26,-6.6,39,0,0,0,0
1/17/06,50,27,38.5,5.9,26,0,0.03,0,0
1/18/06,64,35,49.5,16.9,15,0,0.72,0,0
1/19/06,52,33,42.5,9.9,22,0,0,0,0
1/20/06,57,36,46.5,13.8,18,0,0,0,0
1/21/06,61,37,49,16.3,16,0,0,0,0
1/22/06,46,31,38.5,5.8,26,0,0.03,0,0
1/23/06,43,35,39,6.2,26,0,1.04,0,0
1/24/06,47,32,39.5,6.7,25,0,0.09,0,0
1/25/06,41,33,37,4.1,28,0,0,0,0
1/26/06,36,27,31.5,-1.4,33,0,0,0,0
1/27/06,44,23,33.5,0.5,31,0,0,0,0
1/28/06,59,30,44.5,11.4,20,0,0,0,0
1/29/06,55,33,44,10.8,21,0,0.13,0,0
1/30/06,62,37,49.5,16.2,15,0,0,0,0
1/31/06,46,41,43.5,10.1,21,0,0.01,0,0
2/1/06,42,34,38,4.5,27,0,0,0,0
2/2/06,55,31,43,9.4,22,0,0,0,0
2/3/06,62,45,53.5,19.8,11,0,0.33,0,0
2/4/06,60,42,51,17.2,14,0,0.26,0,0
2/5/06,55,36,45.5,11.5,19,0,0,0,0
2/6/06,42,32,37,2.9,28,0,0,0,0
2/7/06,40,29,34.5,0.2,30,0,0,0,0
2/8/06,36,26,31,-3.4,34,0,0,0,0
2/9/06,36,24,30,-4.6,35,0,0,0,0
2/10/06,38,27,32.5,-2.2,32,0,0,0,0
2/11/06,39,32,35.5,0.6,29,0,0.14,1.4,0
2/12/06,32,23,27.5,-7.6,37,0,0.75,10.6,5
2/13/06,35,17,26,-9.3,39,0,0,0,10
2/14/06,41,25,33,-2.5,32,0,0,0,7
2/15/06,52,27,39.5,3.8,25,0,0,0,4
2/16/06,61,31,46,10.1,19,0,0,0,1
2/17/06,60,35,47.5,11.4,17,0,0,0,0
2/18/06,37,17,27,-9.3,38,0,0,0,0
2/19/06,29,15,22,-14.5,43,0,0,0,0
2/20/06,38,24,31,-5.7,34,0,0,0,0
2/21/06,44,25,34.5,-2.5,30,0,0,0,0
2/22/06,39,28,33.5,-3.7,31,0,0,0,0
2/23/06,46,35,40.5,3.1,24,0,0.03,0,0
2/24/06,41,30,35.5,-2.2,29,0,0,0,0
2/25/06,53,25,39,1.1,26,0,0,0,0
2/26/06,34,22,28,-10.2,37,0,0,0,0
2/27/06,33,18,25.5,-12.9,39,0,0,0,0
2/28/06,36,23,29.5,-9.2,35,0,0,0,0
3/1/06,46,28,37,-2,28,0,0,0,0
3/2/06,37,28,32.5,-6.7,32,0,0.19,0,0
3/3/06,38,27,32.5,-7,32,0,0,0,0
3/4/06,44,27,35.5,-4.3,29,0,0,0,0
3/5/06,50,28,39,-1.1,26,0,0,0,0
3/6/06,46,31,38.5,-1.9,26,0,0,0,0
3/7/06,46,30,38,-2.7,27,0,0,0,0
3/8/06,50,29,39.5,-1.5,25,0,0,0,0
3/9/06,62,41,51.5,10.2,13,0,0,0,0
