Month,Temperature.Max,Temperature.Min,Temperature.Avg,Temperature.Departure,HDD,CDD,Precipitation,New.Snow,Snow.Depth
2006-01,49.12903226,32.35483871,40.74193548,7.793548387,23.96774194,0,0.14,0.012903226,0
2006-02,43.42857143,27.78571429,35.60714286,-0.15,29.14285714,0,0.053928571,0.428571429,0.964285714
2006-03,53.4516129,35.5483871,44.5,0.94516129,20.25806452,0.032258065,0.029354839,0,0
2006-04,67.03333333,46.26666667,56.65,2.646666667,8.366666667,0.366666667,0.123666667,0.003333333,0
2006-05,74.83870968,54.25806452,64.5483871,0.648387097,2.64516129,2.451612903,0.069677419,0,0
2006-06,80.9,64.66666667,72.78333333,-0.466666667,0.066666667,8,0.265,0,0
2006-07,88.35483871,70.48387097,79.41935484,1.267741935,0,14.64516129,0.137741935,0,0
2006-08,86.48387097,69.74193548,78.11290323,1.525806452,0,13.32258065,0.126774194,0,0
2006-09,74.96666667,59.26666667,67.11666667,-2.033333333,1.133333333,3.4,0.199,0,0
2006-10,64.96774194,47.38709677,56.17741935,-1.319354839,9.064516129,0.548387097,0.207096774,0,0
2006-11,58.8,43.7,51.25,3.65,13.46666667,0,0.162666667,0,0
2006-12,50.80645161,34.61290323,42.70967742,5.264516129,22.03225806,0,0.069354839,0,0
2007-01,45.64516129,30.74193548,38.19354839,5.24516129,26.58064516,0,0.108064516,0.070967742,0.096774194
2007-02,34.78571429,21.10714286,27.94642857,-7.810714286,36.78571429,0,0.061785714,0.232142857,0.642857143
2007-03,53.96774194,33.41935484,43.69354839,0.138709677,21,0,0.123225806,0.151612903,0.225806452
2007-04,59.7,41.86666667,50.78333333,-3.22,14.23333333,0.266666667,0.301666667,0,0
2007-05,76.90322581,55.22580645,66.06451613,2.164516129,2.451612903,3.709677419,0.086451613,0,0
2007-06,82.66666667,64.83333333,73.75,0.5,0.133333333,9.166666667,0.134,0,0
2007-07,85.90322581,68.64516129,77.27419355,-0.877419355,0,12.61290323,0.110967742,0,0
2007-08,85.74193548,68.25806452,77,0.412903226,0.193548387,12.38709677,0.09483871,0,0
2007-09,81.63333333,62.3,71.96666667,2.816666667,0.433333333,7.666666667,0.019333333,0,0
2007-10,73.25806452,55.70967742,64.48387097,6.987096774,3.774193548,3.548387097,0.150322581,0,0
2007-11,53.13333333,38.33333333,45.73333333,-1.866666667,19,0,0.048333333,0,0
2007-12,43.48387097,31.80645161,37.64516129,0.2,27.16129032,0,0.142258065,0.051612903,0.032258065
2008-01,43.06451613,28.64516129,35.85483871,2.906451613,28.87096774,0,0.056129032,0.032258065,0
2008-02,45.44827586,28.27586207,36.86206897,1,27.93103448,0,0.135517241,0.127586207,0.103448276
2008-03,53.93548387,35.67741935,44.80645161,1.251612903,19.90322581,0,0.118387097,0,0
2008-04,65.83333333,46.76666667,56.3,2.296666667,8.7,0.3,0.073,0,0
2008-05,70.93548387,51.41935484,61.17741935,-2.722580645,4.806451613,1.193548387,0.146774194,0,0
2008-06,86.03333333,66.7,76.36666667,3.116666667,0,11.56666667,0.095666667,0,0
2008-07,88.12903226,70.41935484,79.27419355,1.122580645,0,14.58064516,0.111290323,0,0
2008-08,83.64516129,65.58064516,74.61290323,-1.974193548,0,10,0.078709677,0,0
2008-09,78.53333333,62.16666667,70.35,1.2,0.4,6,0.143666667,0,0
2008-10,65.48387097,47.64516129,56.56451613,-0.932258065,8.838709677,0.612903226,0.051290323,0,0
2008-11,52.03333333,39.06666667,45.55,-2.05,19.2,0,0.134,0.033333333,0
2008-12,46.58064516,30.77419355,38.67741935,1.232258065,26.09677419,0,0.179677419,0.012903226,0
2009-01,35.48387097,22.58064516,29.03225806,-3.916129032,35.70967742,0,0.087096774,0.132258065,0.064516129
2009-02,46,28.10714286,37.05357143,1.296428571,27.64285714,0,0.03,0.3,0.821428571
2009-03,52.25806452,35.03225806,43.64516129,0.090322581,21.06451613,0,0.052258065,0.290322581,0.483870968
2009-04,65.53333333,45.6,55.56666667,1.563333333,10.66666667,1.4,0.133,0,0
2009-05,74.09677419,55.93548387,65.01612903,1.116129032,2.548387097,2.774193548,0.156129032,0,0
2009-06,78.93333333,63.23333333,71.08333333,-2.166666667,0.5,6.833333333,0.159666667,0,0
2009-07,85,66.83870968,75.91935484,-2.232258065,0,11.19354839,0.108064516,0,0
2009-08,86,70.32258065,78.16129032,1.574193548,0,13.48387097,0.331935484,0,0
2009-09,75.73333333,60.3,68.01666667,-1.133333333,0.633333333,3.966666667,0.121666667,0,0
2009-10,64.16129032,48.58064516,56.37096774,-1.125806452,8.677419355,0.322580645,0.177741935,0,0
2009-11,57.8,43.96666667,50.88333333,3.283333333,13.9,0,0.068666667,0,0
2009-12,43.32258065,29.38709677,36.35483871,-1.090322581,28.41935484,0,0.285806452,0.777419355,2.677419355
2010-01,40.09677419,26.22580645,33.16129032,0.212903226,31.58064516,0,0.070645161,0.1,0.096774194
2010-02,37.82142857,25.67857143,31.75,-4.007142857,33,0,0.205357143,1.839285714,7.5
2010-03,57.5483871,39.09677419,48.32258065,4.767741935,16.38709677,0,0.236451613,0,0
2010-04,69.16666667,47.6,58.38333333,4.38,7.233333333,0.833333333,0.088333333,0,0
2010-05,76.93548387,58.03225806,67.48387097,3.583870968,2.451612903,5.225806452,0.081612903,0,0
2010-06,87.6,68.76666667,78.18333333,4.933333333,0,13.46666667,0.068333333,0,0
2010-07,90.87096774,72.61290323,81.74193548,3.590322581,0,17,0.202580645,0,0
2010-08,87.58064516,70.35483871,78.96774194,2.380645161,0,14.22580645,0.070645161,0,0
2010-09,82.06666667,63.73333333,72.9,3.75,0,8.133333333,0.116,0,0
2010-10,67.70967742,50.32258065,59.01612903,1.519354839,6.419354839,0.612903226,0.161612903,0,0
2010-11,56.23333333,40.23333333,48.23333333,0.633333333,16.5,0,0.058666667,0,0
2010-12,38.93548387,26.38709677,32.66129032,-4.783870968,32,0,0.104516129,0.409677419,0.967741935
2011-01,35.41935484,23.12903226,29.27419355,-3.674193548,35.41935484,0,0.109354839,0.812903226,2.483870968
2011-02,46.21428571,28.25,37.23214286,1.475,27.53571429,0,0.094642857,0.217857143,1.214285714
2011-03,52.74193548,35.5483871,44.14516129,0.590322581,20.5483871,0,0.138387097,0,0
2011-04,66.43333333,47.2,56.81666667,2.813333333,9.3,1.333333333,0.176333333,0,0
2011-05,76.96774194,57.77419355,67.37096774,3.470967742,1.677419355,4.290322581,0.061612903,0,0
2011-06,84.76666667,66.06666667,75.41666667,2.166666667,0,10.7,0.085333333,0,0
2011-07,91.90322581,72.83870968,82.37096774,4.219354839,0,17.64516129,0.087419355,0,0
2011-08,84.41935484,67.83870968,76.12903226,-0.458064516,0,11.41935484,0.622903226,0,0
2011-09,78.56666667,63.7,71.13333333,1.983333333,0.6,6.933333333,0.342333333,0,0
2011-10,66.16129032,49.16129032,57.66129032,0.164516129,7.548387097,0.451612903,0.119677419,0.009677419,0
2011-11,60.26666667,42.4,51.33333333,3.733333333,13.36666667,0,0.129,0,0
2011-12,51.38709677,35.16129032,43.27419355,5.829032258,21.51612903,0,0.140967742,0,0
2012-01,45.93548387,29.93548387,37.93548387,4.987096774,26.80645161,0,0.083548387,0.080645161,0.161290323
2012-02,48.82758621,33.06896552,40.94827586,5.086206897,23.75862069,0,0.063448276,0.04137931,0.034482759
2012-03,61.67741935,42.70967742,52.19354839,8.638709677,12.70967742,0.129032258,0.025483871,0,0
2012-04,65.73333333,45.36666667,55.55,1.546666667,9.866666667,0.666666667,0.085,0,0
2012-05,77.16129032,59.16129032,68.16129032,4.261290323,1.096774194,4.516129032,0.108064516,0,0
2012-06,83.43333333,63.66666667,73.55,0.3,0.233333333,9,0.098,0,0
2012-07,90.80645161,72.70967742,81.75806452,3.606451613,0,17,0.047741935,0,0
2012-08,86.90322581,70.35483871,78.62903226,2.041935484,0,13.87096774,0.173225806,0,0
2012-09,78.26666667,62.33333333,70.3,1.15,0.466666667,6.033333333,0.182666667,0,0
2012-10,66.83870968,52,59.41935484,1.922580645,6.322580645,1,0.131612903,0,0
2012-11,51.9,36.5,44.2,-3.4,20.53333333,0,0.035,0,0
2012-12,49.67741935,36.5483871,43.11290323,5.667741935,21.61290323,0,0.142580645,0.012903226,0
